time,open,high,low,close
1256025600,7131.700195,7157.509766,7123.200195,7145.149902
1256112000,7139.060059,7139.290039,7062.069824,7062.089844
1256198400,7042.22998,7101.700195,7002.209961,7101.700195
1256457600,7133.209961,7207.540039,7131.310059,7188.75
1256544000,7177.47998,7261.759766,7174.22998,7249.549805
1256630400,7240.009766,7240.470215,7189.75,7198.160156
1256716800,7192.5,7279.910156,7121.160156,7121.160156
1256803200,6937.189941,6966.77002,6890.100098,6966.25
1257062400,6892.569824,6892.569824,6784.549805,6784.890137
1257148800,6786.049805,6885.819824,6786.049805,6849.060059
1257235200,6825.379883,6825.379883,6617.549805,6617.549805
1257321600,6613.950195,6682.870117,6607.52002,6652.580078
1257408000,6652.52002,6652.52002,6507.120117,6551.649902
1257667200,6706.080078,6757.859863,6679.569824,6679.569824
1257753600,6684.959961,6715.990234,6666.350098,6715.990234
1257840000,6833.359863,6868.97998,6833.359863,6861.370117
1257926400,6861.319824,6891.97998,6828,6863.200195
1258012800,6861.200195,6861.200195,6703.02002,6703.040039
1258272000,6704.22998,6727.120117,6647.890137,6647.890137
1258358400,6647.970215,6712.390137,6647.970215,6654.910156
1258444800,6623.549805,6623.970215,6470.799805,6470.799805
1258531200,6400.779785,6400.779785,6268.029785,6268.939941
1258617600,6263.700195,6263.700195,6155.660156,6195.470215
1258876800,6156.509766,6223.120117,6141.529785,6216.850098
1258963200,6218.890137,6308.620117,6212.330078,6279.720215
1259049600,6281.390137,6318.390137,6255.669922,6316.609863
1259136000,6329.930176,6418.330078,6329.930176,6376.439941
1259568000,6179.450195,6179.450195,5868.419922,5868.470215
1259654400,5867.049805,6069.140137,5867.049805,6067.589844
1259740800,6110.859863,6241.370117,6110.540039,6239.790039
1259827200,6261.279785,6392.799805,6261.279785,6384.419922
1260086400,6415.029785,6437.97998,6366.759766,6379.180176
1260172800,6356.950195,6356.950195,6280.310059,6322.899902
1260259200,6322.540039,6394.819824,6322.089844,6365.180176
1260345600,6337.609863,6337.609863,6129.160156,6132.799805
1260432000,6142.319824,6202.029785,6142.319824,6192.799805
1260691200,6399.290039,6590.319824,6399.290039,6580.439941
1260777600,6670.970215,6708.120117,6609.029785,6609.029785
1260864000,6543.209961,6543.209961,6483.290039,6483.290039
1260950400,6478.299805,6527.160156,6478.299805,6484.950195
1261036800,6468.379883,6477.859863,6424.379883,6477.859863
1261296000,6499.140137,6534.859863,6493.52002,6496.580078
1261382400,6491.970215,6491.970215,6411.549805,6411.700195
1261468800,6428.419922,6517.350098,6428.419922,6443.27002
1261555200,6421.100098,6421.379883,6371.180176,6393.540039
1261641600,6397.529785,6429.129883,6380.350098,6380.439941
1261900800,6388.830078,6401.240234,6277.02002,6277.02002
1261987200,6249.799805,6250.120117,6124.439941,6153.850098
1262073600,6178.680176,6259.620117,6178.680176,6257.879883
1262160000,6274.27002,6295.640137,6198.350098,6198.350098
1262246400,6190.930176,6209.160156,6185.919922,6208.77002
1262505600,6214.279785,6273.72998,6208.339844,6272
1262592000,6274.819824,6333.310059,6272.609863,6323.899902
1262678400,6350.430176,6430.470215,6349.129883,6420.490234
1262764800,6411.129883,6451.919922,6407.22998,6436.870117
1263110400,6467.419922,6510.810059,6467.419922,6476.189941
1263196800,6454.379883,6463.049805,6436.540039,6459.379883
1263283200,6460.850098,6543.799805,6460.850098,6534.799805
1263369600,6569.359863,6613.620117,6551.040039,6581.589844
1263456000,6610.600098,6680.799805,6610.600098,6680.799805
1263715200,6704.470215,6751.060059,6697.370117,6697.370117
1263801600,6671.620117,6725.279785,6656.919922,6725.279785
1263888000,6784.629883,6858.819824,6784.029785,6833.259766
1263974400,6823.799805,6893.569824,6822.759766,6888.450195
1264060800,6866,6867.720215,6826.779785,6864.189941
1264320000,6777.799805,6777.799805,6657.419922,6657.419922
1264492800,6623.339844,6623.600098,6551,6569.470215
1264579200,6569.919922,6593.330078,6558.310059,6586.669922
1264665600,6636,6698.830078,6636,6696.069824
1264924800,6865.649902,6908.939941,6756.140137,6756.140137
1265011200,6713.899902,6801.660156,6699.540039,6801.660156
1265097600,6845.759766,6927.669922,6845.759766,6926.859863
1265184000,6976.549805,7045.319824,6976.450195,7037.970215
1265270400,7012.5,7055.089844,6979.200195,6979.200195
1265529600,6832.660156,6832.660156,6781.779785,6827.490234
1265616000,6876.350098,7017.439941,6876.350098,6998.279785
1265702400,6977.660156,6977.660156,6932.029785,6947.029785
1265788800,7009.009766,7031.490234,6933.189941,6933.910156
1265875200,6927.220215,6946.569824,6904.319824,6933.040039
1266134400,6958.870117,7025.100098,6958.870117,7008.819824
1266220800,7039.509766,7058.72998,7019.040039,7019.470215
1266307200,7024.399902,7076.600098,7015.540039,7062.660156
1266393600,7037.819824,7058.22998,6973.72998,6973.72998
1266480000,6953.350098,6953.470215,6860.700195,6860.700195
1266739200,6831.200195,6831.200195,6708.450195,6708.450195
1266825600,6712.169922,6716.189941,6671.220215,6702.140137
1266912000,6708.200195,6724.75,6574.569824,6574.569824
1266998400,6568.009766,6608.200195,6543.850098,6608.200195
1267084800,6668.720215,6719.990234,6668.720215,6719.350098
1267344000,6670.709961,6692.810059,6632.540039,6632.540039
1267430400,6628.209961,6695.580078,6625.779785,6650.549805
1267516800,6659.5,6675.759766,6631.990234,6675.669922
1267603200,6710.359863,6784.009766,6710.359863,6783.379883
1267689600,6816.680176,6842.569824,6783.830078,6783.830078
1267948800,6779.890137,6807.75,6767.390137,6807.399902
1268035200,6782.029785,6786.370117,6762,6773.930176
1268121600,6769.689941,6770.290039,6684.560059,6690.910156
1268208000,6720.129883,6776.080078,6715.850098,6775.799805
1268294400,6782.330078,6831.27002,6769.080078,6769.080078
1268553600,6761.5,6761.5,6606.810059,6606.810059
1268640000,6571.509766,6579.169922,6353.140137,6353.140137
1268726400,6339.72998,6465.740234,6295.600098,6465.649902
1268812800,6521.790039,6589.939941,6521.560059,6560.330078
1268899200,6534.810059,6611.25,6504.049805,6610.419922
1269158400,6609.529785,6616.859863,6553.779785,6553.779785
1269244800,6545.120117,6567.75,6506.240234,6518.509766
1269331200,6473.810059,6659.140137,6463.580078,6659.140137
1269417600,6726.910156,6776.810059,6716.77002,6716.77002
1269504000,6699.970215,6765.259766,6695.379883,6765.259766
1269763200,6788.160156,6850.040039,6783.950195,6846.75
1269849600,6862.27002,6896.600098,6855.25,6855.25
1269936000,6828.379883,6832.950195,6794.569824,6820.930176
1270022400,6833.490234,6844.22998,6799.810059,6806.109863
1270108800,6806.560059,6867.810059,6800.129883,6863.430176
1270540800,6906.509766,7057.930176,6906.509766,7051.109863
1270627200,7060.669922,7142.430176,7044.629883,7142.379883
1270713600,7230.720215,7249.060059,7204.589844,7248.609863
1270972800,7398.77002,7453.040039,7398.77002,7447.919922
1271059200,7477.819824,7544.339844,7477.819824,7515.060059
1271145600,7481.77002,7485.990234,7413.459961,7428.140137
1271232000,7493.859863,7595.299805,7493.859863,7591.370117
1271318400,7676.799805,7693.459961,7573.609863,7573.609863
1271577600,7503.830078,7503.930176,7417.060059,7417.060059
1271664000,7388.779785,7393.140137,7381.339844,7390.910156
1271750400,7442.810059,7532.22998,7442.180176,7530.560059
1271836800,7580.799805,7622.540039,7580.279785,7581.709961
1271923200,7550.319824,7552.609863,7466.069824,7467.350098
1272268800,7494.390137,7591.160156,7493.649902,7591.049805
1272355200,7610.149902,7639.120117,7589.430176,7603.040039
1272441600,7580.350098,7580.569824,7487.75,7500.560059
1272528000,7417.299805,7474.850098,7414.890137,7451.720215
1272783600,7415.919922,7415.919922,7277.310059,7277.310059
1272870000,7253.27002,7341.200195,7239,7324.450195
1272956400,7360.350098,7451.089844,7348.910156,7348.910156
1273042800,7260.879883,7260.879883,7148.560059,7176.830078
1273129200,7130.490234,7162.52002,7116.450195,7116.450195
1273388400,6750.870117,6759.22998,6700.77002,6756
1273474800,6884.910156,7012.419922,6884.910156,6974.959961
1273561200,6975.799805,6980.689941,6822.790039,6822.790039
1273647600,6784.540039,6858.080078,6746.410156,6836.47998
1273734000,6938.839844,6965.850098,6916.600098,6917.129883
1273993200,6804.279785,6804.279785,6694.109863,6694.209961
1274079600,6695.759766,6703.149902,6607.029785,6641.879883
1274166000,6668.169922,6791.850098,6668.169922,6761.279785
1274252400,6741.970215,6741.970215,6489.060059,6489.060059
1274338800,6465.379883,6530.839844,6421.580078,6421.580078
1274598000,6424,6437.830078,6363.759766,6393.669922
1274684400,6493.350098,6524.919922,6321.200195,6321.200195
1274770800,6153.740234,6153.740234,5936.490234,5937.5
1274857200,5983.620117,6201.899902,5983.620117,6200.290039
1274943600,6242.839844,6337.509766,6222.009766,6337.509766
1275202800,6444.700195,6561.22998,6444.700195,6517.430176
1275289200,6491.040039,6549.02002,6430.240234,6549.02002
1275375600,6600.120117,6601.189941,6437.790039,6437.790039
1275462000,6417.209961,6434.080078,6381.109863,6430.27002
1275548400,6523.200195,6565.540039,6517.609863,6517.939941
1275807600,6416.660156,6416.660156,6332.779785,6366.819824
1275894000,6350.879883,6350.879883,6284.700195,6311.919922
1275980400,6337.330078,6390.299805,6312.850098,6312.850098
1276066800,6347.240234,6365.25,6331.959961,6348.160156
1276153200,6295.040039,6295.040039,6230.990234,6243.089844
1276412400,6305.939941,6360.72998,6300.839844,6300.839844
1276498800,6298.330078,6321.100098,6293.339844,6300.319824
1276585200,6278.120117,6291.640137,6252.600098,6284.830078
1276671600,6291.810059,6366.319824,6291.810059,6348.25
1276758000,6346.790039,6418.629883,6342.330078,6418.390137
1277017200,6435.52002,6519.290039,6435.52002,6519.089844
